point,x
trans,10.21978021978022
KUB,10.307692307692307
trans,10.901098901098901
trans,11.56043956043956
trans,12.197802197802197
trans,12.857142857142858
trans,13.516483516483516
trans,14.043956043956042
trans,14.76923076923077
trans,15.274725274725274
trans,15.714285714285714
trans,16.24175824175824
trans,16.725274725274726
HLB,16.989010989010985
trans,17.252747252747252
