point,y
HLB,10.09119328
261,10.03485525
342,10.03485525
263,9.809503135
277,9.809503135
213,9.527812994
214,9.217953839
280,9.11936229
281,8.837672149
216,8.541897501
282,8.541897501
217,8.457390459
267,8.457390459
218,8.40105243
219,8.232038346
283,8.232038346
220,8.048939754
221,7.809503135
222,7.724996092
286,7.724996092
223,7.527812994
225,7.203869332
289,7.203869332
294,6.577108769
295,6.471474966
229,6.11936229
KUB,2.077108769
